timestamp,x,y,yaw,velocity,steering
1787918778.494562,-0.183272,-2.733377,1.908362,0.0000,0.0000
1787918778.500969,-0.183088,-2.733265,1.908815,0.0021,0.0000
1787918778.507681,-0.182981,-2.733172,1.908938,0.0038,0.0000
1787918778.515742,-0.183226,-2.733295,1.908625,0.0014,0.0000
1787918778.521457,-0.183059,-2.733400,1.908734,-0.0072,0.0000
1787918778.527890,-0.183908,-2.733604,1.907098,-0.0009,0.0000
1787918778.534268,-0.183026,-2.733262,1.908979,0.0008,0.0000
1787918778.540970,-0.183449,-2.733410,1.908312,0.0005,0.0000
1787918778.548373,-0.183449,-2.733319,1.908221,0.0039,0.0000
1787918778.554669,-0.183407,-2.733395,1.908348,-0.0014,0.0000
1787918778.561031,-0.183710,-2.733507,1.907572,-0.0012,0.0000
1787918778.567991,-0.183137,-2.733376,1.908750,-0.0037,0.0000
1787918778.574619,-0.183190,-2.733312,1.908668,0.0009,0.0000
1787918778.580929,-0.183752,-2.733497,1.907564,0.0012,0.0000
1787918778.587665,-0.182912,-2.733243,1.909172,-0.0009,0.0000
1787918778.594524,-0.183441,-2.733375,1.908178,0.0016,0.0000
1787918778.602485,-0.183349,-2.733446,1.908357,-0.0026,0.0000
1787918778.608192,-0.183143,-2.733295,1.908659,0.0021,0.0000
1787918778.614217,-0.183321,-2.733556,1.908419,-0.0079,0.0000
1787918778.621020,-0.183471,-2.733454,1.907976,0.0009,0.0000
1787918778.628136,-0.182867,-2.733093,1.909129,0.0065,0.0000
1787918778.634428,-0.184113,-2.733756,1.906760,-0.0056,0.0000
1787918778.641398,-0.183184,-2.733348,1.908534,-0.0006,0.0000
1787918778.649174,-0.183206,-2.733371,1.908593,-0.0010,0.0000
1787918778.654591,-0.183480,-2.733442,1.907803,0.0006,0.0000
1787918778.661346,-0.183121,-2.733439,1.908812,-0.0047,0.0000
1787918778.667493,-0.182710,-2.733067,1.909634,0.0071,0.0000
1787918778.674511,-0.183343,-2.733290,1.908276,0.0050,0.0000
1787918778.681476,-0.183301,-2.733471,1.908384,-0.0045,0.0000
1787918778.687927,-0.183285,-2.733231,1.908431,0.0071,0.0000
1787918778.741353,-0.183476,-2.733264,1.908003,0.0052,0.0000
1787918778.743518,-0.183309,-2.733491,1.908588,-0.0336,0.0000
1787918778.745338,-0.183368,-2.733158,1.908365,0.0314,0.0000
1787918778.747085,-0.183740,-2.733495,1.907433,-0.0115,0.0000
1787918778.748907,-0.183276,-2.733578,1.908502,-0.0462,0.0000
1787918778.750745,-0.183062,-2.733260,1.908595,0.0050,0.0000
1787918778.752455,-0.182933,-2.733166,1.909187,0.0115,0.0000
1787918778.754107,-0.183743,-2.733517,1.907698,-0.0034,0.0000
1787918778.755843,-0.183428,-2.733415,1.908051,-0.0037,0.0000
1787918778.757570,-0.183833,-2.733479,1.907429,0.0101,0.0000
1787918778.761184,-0.183534,-2.733526,1.908084,-0.0048,0.0000
1787918778.767885,-0.183032,-2.733151,1.909037,0.0050,0.0000
1787918778.774754,-0.183362,-2.733262,1.908150,0.0037,0.0000
1787918778.780958,-0.183349,-2.733407,1.908369,-0.0042,0.0000
1787918778.787415,-0.183299,-2.733405,1.908494,-0.0037,0.0000
1787918778.795961,-0.182710,-2.733266,1.909588,-0.0048,0.0000
1787918778.801657,-0.183847,-2.733576,1.907384,0.0010,0.0000
1787918778.807932,-0.183500,-2.733455,1.907890,0.0007,0.0000
1787918778.814717,-0.183420,-2.733294,1.908156,0.0060,0.0000
1787918778.823973,-0.183390,-2.733454,1.908243,-0.0010,0.0000
1787918778.827529,-0.183028,-2.733248,1.908943,0.0056,0.0000
1787918778.834546,-0.183282,-2.733378,1.908283,0.0022,0.0000
1787918778.840755,-0.183254,-2.733360,1.908548,0.0019,0.0000
1787918778.848597,-0.183297,-2.733453,1.908296,-0.0015,0.0000
1787918778.857021,-0.183642,-2.733333,1.907792,0.0071,0.0000
1787918778.860917,-0.183934,-2.733598,1.907216,-0.0069,0.0000
1787918778.867555,-0.183444,-2.733518,1.908120,-0.0087,0.0000
1787918778.874231,-0.183255,-2.733260,1.908561,0.0020,0.0000
1787918778.881134,-0.183441,-2.733452,1.908226,-0.0038,0.0000
1787918778.887935,-0.183588,-2.733522,1.907870,-0.0034,0.0000
1787918778.895178,-0.183459,-2.733347,1.908159,0.0027,0.0000
1787918778.901406,-0.183165,-2.733259,1.908655,0.0012,0.0000
1787918778.907425,-0.183817,-2.733604,1.907322,-0.0047,0.0000
1787918778.914585,-0.183266,-2.733220,1.908271,0.0042,0.0000
1787918778.921369,-0.183403,-2.733486,1.908343,-0.0061,0.0000
1787918778.928522,-0.183602,-2.733572,1.907648,-0.0049,0.0000
1787918778.934718,-0.183523,-2.733441,1.908064,0.0013,0.0000
1787918778.941411,-0.183666,-2.733483,1.907542,0.0012,0.0000
1787918778.947752,-0.183786,-2.733479,1.907320,0.0029,0.0000
1787918778.956432,-0.183278,-2.733350,1.908398,0.0004,0.0000
1787918778.960889,-0.183516,-2.733344,1.908010,0.0060,0.0000
1787918778.967837,-0.183098,-2.733303,1.908947,-0.0001,0.0000
1787918778.974419,-0.183523,-2.733251,1.908068,0.0086,0.0000
1787918778.981923,-0.183792,-2.733523,1.907337,-0.0007,0.0000
1787918778.989653,-0.182826,-2.733278,1.909525,-0.0040,0.0000
1787918778.994708,-0.183404,-2.733516,1.908080,-0.0048,0.0000
1787918779.000867,-0.183685,-2.733578,1.907633,-0.0017,0.0000
1787918779.036529,-0.183237,-2.733353,1.908360,-0.0006,0.0000
1787918779.038654,-0.183047,-2.733227,1.908881,0.0074,0.0000
1787918779.040537,-0.183399,-2.733445,1.907912,-0.0090,0.0000
1787918779.042359,-0.183387,-2.733350,1.908247,0.0078,0.0000
1787918779.044127,-0.183595,-2.733229,1.907828,0.0366,0.0000
1787918779.048246,-0.183461,-2.733476,1.907964,0.0054,0.0000
1787918779.050056,-0.182985,-2.733284,1.908859,0.0076,0.0000
