timestamp,x,y,yaw,velocity,steering
1787924874.164755,1.001032,-2.694013,1.568743,0.0000,0.0000
1787924874.170534,1.000983,-2.694025,1.568835,-0.0006,0.0000
1787924874.178080,1.001007,-2.694059,1.568869,-0.0018,0.0000
1787924874.183279,1.001033,-2.694031,1.568583,0.0004,0.0000
1787924874.192538,1.001111,-2.693991,1.568911,0.0016,0.0000
1787924874.198266,1.001012,-2.694062,1.568871,-0.0026,0.0000
1787924874.203620,1.000924,-2.694066,1.568699,-0.0021,0.0000
1787924874.210390,1.001160,-2.694053,1.569202,-0.0009,0.0000
1787924874.218193,1.001204,-2.693930,1.568858,0.0041,0.0000
1787924874.223550,1.001060,-2.694094,1.568886,-0.0063,0.0000
1787924874.230426,1.001091,-2.694010,1.568885,-0.0007,0.0000
1787924874.237852,1.001005,-2.693998,1.568901,-0.0001,0.0000
1787924874.244218,1.000953,-2.693968,1.568695,0.0014,0.0000
1787924874.250127,1.000810,-2.694005,1.568730,-0.0009,0.0000
1787924874.256196,1.000998,-2.693968,1.568788,0.0012,0.0000
1787924874.263626,1.001165,-2.694105,1.568931,-0.0047,0.0000
1787924874.270548,1.000852,-2.694108,1.568600,-0.0034,0.0000
1787924874.281226,1.001007,-2.694070,1.568878,-0.0013,0.0000
1787924874.285571,1.000968,-2.693948,1.568519,0.0075,0.0000
1787924874.291330,1.001035,-2.694007,1.568536,0.0022,0.0000
1787924874.296180,1.000971,-2.693923,1.568938,0.0067,0.0000
1787924874.307151,1.000971,-2.694062,1.568540,0.0009,0.0000
1787924874.311684,1.000926,-2.694138,1.568904,-0.0044,0.0000
1787924874.317552,1.001081,-2.694191,1.568965,-0.0058,0.0000
1787924874.323383,1.000960,-2.693995,1.568559,0.0060,0.0000
1787924874.329835,1.001070,-2.693959,1.569041,0.0059,0.0000
1787924874.338790,1.001067,-2.694001,1.568902,0.0027,0.0000
1787924874.343685,1.001098,-2.694046,1.569228,-0.0009,0.0000
1787924874.350909,1.001227,-2.694002,1.568982,0.0012,0.0000
1787924874.357140,1.001144,-2.694105,1.569326,-0.0041,0.0000
1787924874.362838,1.001001,-2.693961,1.568814,0.0047,0.0000
1787924874.370764,1.000918,-2.693980,1.568754,0.0026,0.0000
1787924874.376744,1.000966,-2.693962,1.568654,0.0027,0.0000
1787924874.383820,1.000934,-2.693877,1.568710,0.0055,0.0000
1787924874.390610,1.001037,-2.693960,1.568752,0.0002,0.0000
1787924874.397916,1.001143,-2.694060,1.569135,-0.0040,0.0000
1787924874.407337,1.001062,-2.694041,1.569060,-0.0022,0.0000
1787924874.413161,1.001165,-2.694045,1.568914,-0.0017,0.0000
1787924874.419228,1.001023,-2.694166,1.568752,-0.0072,0.0000
1787924874.424191,1.001195,-2.694039,1.569018,0.0026,0.0000
1787924874.431453,1.000957,-2.693993,1.568495,0.0037,0.0000
1787924874.436194,1.001090,-2.694028,1.569009,0.0004,0.0000
1787924874.444029,1.001125,-2.694009,1.568910,0.0010,0.0000
1787924874.449893,1.000917,-2.693967,1.568608,0.0028,0.0000
