timestamp,x,y,yaw,velocity,steering
1787921175.059824,1.030245,-2.688999,1.599038,0.0000,0.0000
1787921175.066794,1.030295,-2.688993,1.598972,0.0002,0.0000
1787921175.073575,1.030247,-2.689035,1.598749,-0.0017,0.0000
1787921175.079621,1.030352,-2.688968,1.599051,0.0020,0.0000
1787921175.086814,1.030351,-2.689131,1.598496,-0.0054,0.0000
1787921175.092594,1.030560,-2.689105,1.598778,-0.0027,0.0000
1787921175.099936,1.030628,-2.689203,1.598740,-0.0060,0.0000
1787921175.106683,1.030619,-2.689149,1.598438,-0.0018,0.0000
1787921175.113309,1.030760,-2.689327,1.598809,-0.0095,0.0000
1787921175.119380,1.030961,-2.689355,1.599174,-0.0083,0.0000
1787921175.126256,1.030757,-2.689351,1.598664,-0.0054,0.0000
1787921175.134775,1.030832,-2.689219,1.598902,0.0008,0.0000
1787921175.139234,1.030694,-2.689318,1.598659,-0.0059,0.0000
1787921175.146545,1.030589,-2.689254,1.598770,-0.0013,0.0000
1787921175.152705,1.030474,-2.689065,1.598782,0.0084,0.0000
1787921175.160547,1.030316,-2.689035,1.598777,0.0072,0.0000
1787921175.166209,1.030307,-2.689040,1.599093,0.0048,0.0000
1787921175.172395,1.030462,-2.689030,1.598895,0.0036,0.0000
1787921175.180370,1.030598,-2.689158,1.599026,-0.0024,0.0000
1787921175.186111,1.030573,-2.689213,1.599023,-0.0045,0.0000
1787921175.192741,1.030614,-2.689250,1.598676,-0.0049,0.0000
1787921175.202893,1.030681,-2.689188,1.598298,-0.0017,0.0000
1787921175.207768,1.030805,-2.689157,1.598650,0.0005,0.0000
1787921175.212555,1.030796,-2.689224,1.598542,-0.0038,0.0000
1787921175.221919,1.030636,-2.689202,1.598407,-0.0018,0.0000
1787921175.225766,1.030705,-2.689322,1.598593,-0.0108,0.0000
1787921175.232781,1.030854,-2.689231,1.598637,-0.0038,0.0000
1787921175.239242,1.030653,-2.689306,1.598791,-0.0059,0.0000
1787921175.246271,1.030620,-2.689212,1.599097,-0.0001,0.0000
1787921175.253137,1.030515,-2.689068,1.599081,0.0064,0.0000
1787921175.259090,1.030376,-2.689141,1.598986,0.0010,0.0000
1787921175.266154,1.030437,-2.689039,1.598717,0.0050,0.0000
1787921175.273172,1.030287,-2.689084,1.598710,0.0017,0.0000
1787921175.279165,1.030509,-2.689048,1.598794,0.0027,0.0000
1787921175.286472,1.030398,-2.689095,1.598428,0.0001,0.0000
1787921175.292387,1.030665,-2.689101,1.598728,-0.0006,0.0000
1787921175.300116,1.030698,-2.689269,1.599085,-0.0070,0.0000
1787921175.306377,1.030747,-2.689273,1.598582,-0.0052,0.0000
1787921175.313829,1.030715,-2.689267,1.598702,-0.0033,0.0000
1787921175.319043,1.030928,-2.689315,1.599176,-0.0054,0.0000
1787921175.326258,1.030684,-2.689181,1.598871,0.0020,0.0000
1787921175.333012,1.030511,-2.689145,1.598569,0.0033,0.0000
1787921175.339676,1.030645,-2.689047,1.598653,0.0065,0.0000
1787921175.346337,1.030515,-2.689170,1.598481,-0.0008,0.0000
1787921175.352577,1.030478,-2.688979,1.598729,0.0087,0.0000
1787921175.359480,1.030512,-2.689052,1.598812,0.0029,0.0000
1787921175.366651,1.030656,-2.689129,1.599099,-0.0014,0.0000
1787921175.372717,1.030322,-2.689092,1.598721,0.0013,0.0000
1787921175.380360,1.030485,-2.689165,1.598411,-0.0021,0.0000
1787921175.385732,1.030522,-2.689223,1.598876,-0.0048,0.0000
1787921175.393990,1.030497,-2.689202,1.598716,-0.0026,0.0000
1787921175.399324,1.030699,-2.689343,1.598948,-0.0100,0.0000
1787921175.406209,1.030560,-2.689251,1.598604,-0.0029,0.0000
1787921175.412963,1.030790,-2.689323,1.599029,-0.0055,0.0000
1787921175.419344,1.030590,-2.689212,1.598466,0.0016,0.0000
1787921175.426996,1.030506,-2.689278,1.598490,-0.0013,0.0000
1787921175.432684,1.030702,-2.689189,1.598609,0.0035,0.0000
1787921175.441792,1.030470,-2.689050,1.598654,0.0072,0.0000
1787921175.446645,1.030582,-2.689270,1.598545,-0.0087,0.0000
1787921175.453948,1.030647,-2.689134,1.598813,-0.0006,0.0000
1787921175.459628,1.030443,-2.689177,1.598328,-0.0024,0.0000
1787921175.465940,1.030730,-2.689118,1.598907,0.0007,0.0000
1787921175.473511,1.030433,-2.689233,1.598696,-0.0037,0.0000
1787921175.479527,1.030508,-2.689083,1.598747,0.0048,0.0000
1787921175.486385,1.030576,-2.689233,1.599119,-0.0033,0.0000
1787921175.493043,1.030406,-2.689062,1.598406,0.0056,0.0000
1787921175.500663,1.030708,-2.689121,1.599027,0.0013,0.0000
1787921175.505858,1.030228,-2.689105,1.598136,0.0026,0.0000
1787921175.514603,1.030702,-2.689267,1.598429,-0.0042,0.0000
1787921175.519589,1.030786,-2.689222,1.598612,-0.0004,0.0000
1787921175.527829,1.030761,-2.689235,1.598587,-0.0007,0.0000
1787921175.532464,1.030745,-2.689192,1.598482,0.0023,0.0000
1787921175.540206,1.030579,-2.689155,1.598393,0.0032,0.0000
1787921175.545980,1.030822,-2.689177,1.598748,0.0008,0.0000
1787921175.553755,1.030577,-2.689173,1.598382,0.0010,0.0000
1787921175.559508,1.030605,-2.689125,1.598817,0.0031,0.0000
1787921175.566086,1.030463,-2.689042,1.598784,0.0061,0.0000
1787921175.573481,1.030485,-2.689077,1.599143,0.0029,0.0000
1787921175.579027,1.030455,-2.689098,1.598910,0.0009,0.0000
1787921175.586553,1.030471,-2.689169,1.598995,-0.0022,0.0000
1787921175.592827,1.030570,-2.689248,1.599074,-0.0054,0.0000
1787921175.599293,1.030489,-2.689066,1.598667,0.0047,0.0000
1787921175.608138,1.030511,-2.689088,1.598868,0.0025,0.0000
1787921175.612732,1.030495,-2.689249,1.598813,-0.0087,0.0000
1787921175.620294,1.030713,-2.689238,1.598763,-0.0059,0.0000
1787921175.626118,1.030691,-2.689246,1.598281,-0.0045,0.0000
1787921175.633251,1.030650,-2.689280,1.598272,-0.0045,0.0000
1787921175.639153,1.030731,-2.689289,1.598759,-0.0038,0.0000
1787921175.647178,1.030776,-2.689191,1.598805,0.0010,0.0000
