timestamp,x,y,yaw,velocity,steering
1787921346.545196,1.077187,-2.669290,1.673789,0.0000,0.0000
1787921346.552483,1.077094,-2.669241,1.673406,0.0024,0.0000
1787921346.558788,1.076899,-2.669208,1.673273,0.0042,0.0000
1787921346.565498,1.076724,-2.669180,1.673091,0.0050,0.0000
1787921346.571704,1.077053,-2.669307,1.673589,-0.0042,0.0000
1787921346.579148,1.077069,-2.669230,1.673477,0.0000,0.0000
1787921346.585806,1.076876,-2.669212,1.673320,0.0017,0.0000
1787921346.592394,1.076903,-2.669240,1.673572,-0.0002,0.0000
1787921346.598633,1.076836,-2.669252,1.673282,-0.0004,0.0000
1787921346.606251,1.076853,-2.669158,1.672987,0.0033,0.0000
1787921346.612702,1.076994,-2.669175,1.673148,0.0009,0.0000
1787921346.618862,1.076906,-2.669314,1.673109,-0.0057,0.0000
1787921346.625888,1.077166,-2.669294,1.673668,-0.0043,0.0000
1787921346.632914,1.077123,-2.669270,1.673649,-0.0018,0.0000
1787921346.639716,1.077004,-2.669261,1.673504,-0.0003,0.0000
1787921346.645782,1.076887,-2.669294,1.673336,-0.0012,0.0000
1787921346.652147,1.077034,-2.669280,1.673379,-0.0009,0.0000
1787921346.659078,1.077032,-2.669271,1.673354,-0.0002,0.0000
1787921346.665793,1.076941,-2.669194,1.673080,0.0036,0.0000
1787921346.672951,1.076995,-2.669301,1.673210,-0.0021,0.0000
1787921346.678620,1.076924,-2.669249,1.673184,0.0016,0.0000
1787921346.686540,1.077195,-2.669321,1.673688,-0.0026,0.0000
1787921346.691839,1.076892,-2.669252,1.673077,0.0038,0.0000
1787921346.698325,1.076800,-2.669215,1.672895,0.0048,0.0000
1787921346.706355,1.076558,-2.669152,1.672486,0.0066,0.0000
1787921346.712347,1.076901,-2.669276,1.673110,-0.0033,0.0000
1787921346.720211,1.076911,-2.669318,1.673296,-0.0039,0.0000
1787921346.725977,1.077070,-2.669258,1.673477,-0.0005,0.0000
1787921346.732385,1.076871,-2.669196,1.672878,0.0035,0.0000
1787921346.742122,1.077062,-2.669296,1.673299,-0.0012,0.0000
1787921346.746168,1.077043,-2.669264,1.673522,0.0016,0.0000
1787921346.752217,1.076902,-2.669302,1.673315,0.0000,0.0000
1787921346.758451,1.077112,-2.669257,1.673482,0.0011,0.0000
1787921346.765313,1.076970,-2.669260,1.673624,0.0013,0.0000
1787921346.771839,1.076961,-2.669185,1.673052,0.0044,0.0000
1787921346.778521,1.077097,-2.669189,1.673517,0.0022,0.0000
1787921346.785292,1.076773,-2.669182,1.672720,0.0033,0.0000
1787921346.791934,1.076942,-2.669153,1.673625,0.0029,0.0000
1787921346.798945,1.076664,-2.669233,1.672781,-0.0002,0.0000
1787921346.805204,1.076959,-2.669214,1.673151,-0.0006,0.0000
1787921346.813114,1.076967,-2.669257,1.673347,-0.0021,0.0000
1787921346.819421,1.076918,-2.669304,1.673142,-0.0035,0.0000
1787921346.826483,1.076926,-2.669309,1.673433,-0.0027,0.0000
1787921346.834110,1.077065,-2.669219,1.673324,0.0011,0.0000
1787921346.838464,1.077002,-2.669229,1.673348,0.0006,0.0000
1787921346.846146,1.077130,-2.669303,1.673385,-0.0030,0.0000
1787921346.851994,1.077189,-2.669228,1.673877,0.0014,0.0000
1787921346.858526,1.076959,-2.669214,1.673229,0.0027,0.0000
1787921346.865502,1.077219,-2.669250,1.673669,-0.0008,0.0000
1787921346.872180,1.077051,-2.669274,1.673361,-0.0009,0.0000
1787921346.878946,1.076781,-2.669170,1.672907,0.0052,0.0000
1787921346.885586,1.076922,-2.669259,1.673452,-0.0010,0.0000
1787921346.892204,1.076724,-2.669201,1.672973,0.0028,0.0000
1787921346.899041,1.076897,-2.669225,1.673427,0.0002,0.0000
1787921346.905416,1.077097,-2.669157,1.673667,0.0023,0.0000
1787921346.916366,1.076995,-2.669244,1.673436,-0.0005,0.0000
1787921346.918443,1.077014,-2.669287,1.673413,-0.0068,0.0000
1787921346.926183,1.076996,-2.669285,1.673402,-0.0046,0.0000
1787921346.932218,1.077071,-2.669268,1.673186,-0.0028,0.0000
1787921346.939666,1.077048,-2.669276,1.673273,-0.0022,0.0000
1787921346.946926,1.077018,-2.669287,1.673139,-0.0018,0.0000
1787921346.952395,1.077169,-2.669315,1.673530,-0.0037,0.0000
1787921346.958535,1.076939,-2.669365,1.673391,-0.0039,0.0000
1787921346.965670,1.076928,-2.669220,1.673356,0.0034,0.0000
1787921346.972014,1.076954,-2.669278,1.673525,-0.0005,0.0000
1787921346.978878,1.076648,-2.669109,1.672888,0.0084,0.0000
1787921346.985007,1.076718,-2.669139,1.673138,0.0041,0.0000
1787921346.993074,1.076722,-2.669135,1.673141,0.0030,0.0000
1787921346.998466,1.076781,-2.669354,1.673301,-0.0104,0.0000
1787921347.005492,1.077072,-2.669184,1.673575,-0.0013,0.0000
1787921347.011757,1.077077,-2.669255,1.673450,-0.0043,0.0000
1787921347.019135,1.077075,-2.669303,1.673407,-0.0049,0.0000
1787921347.027477,1.077191,-2.669243,1.673563,-0.0018,0.0000
1787921347.032221,1.077068,-2.669299,1.673201,-0.0039,0.0000
1787921347.040615,1.077072,-2.669353,1.673199,-0.0047,0.0000
1787921347.045510,1.077087,-2.669394,1.673498,-0.0059,0.0000
1787921347.051548,1.077196,-2.669275,1.673590,0.0012,0.0000
1787921347.058588,1.076975,-2.669266,1.673289,0.0022,0.0000
1787921347.066284,1.077073,-2.669241,1.673589,0.0021,0.0000
1787921347.072227,1.076933,-2.669251,1.673442,0.0017,0.0000
1787921347.078783,1.076680,-2.669158,1.672863,0.0066,0.0000
1787921347.085295,1.076677,-2.669188,1.672791,0.0033,0.0000
1787921347.091984,1.076799,-2.669202,1.673099,0.0011,0.0000
1787921347.098889,1.076930,-2.669220,1.673133,-0.0006,0.0000
1787921347.105298,1.076806,-2.669235,1.672867,-0.0005,0.0000
1787921347.112184,1.076947,-2.669301,1.673509,-0.0039,0.0000
1787921347.120194,1.077077,-2.669206,1.673407,0.0003,0.0000
1787921347.125394,1.076952,-2.669235,1.673105,-0.0007,0.0000
1787921347.132731,1.077110,-2.669266,1.673654,-0.0024,0.0000
1787921347.138592,1.077004,-2.669340,1.673337,-0.0049,0.0000
1787921347.145619,1.077204,-2.669383,1.673771,-0.0061,0.0000
1787921347.152761,1.077236,-2.669313,1.673776,-0.0015,0.0000
1787921347.158545,1.077113,-2.669245,1.673471,0.0031,0.0000
1787921347.165619,1.076989,-2.669216,1.673407,0.0039,0.0000
1787921347.182758,1.076906,-2.669190,1.673236,0.0034,0.0000
1787921347.184612,1.076877,-2.669130,1.673121,0.0124,0.0000
1787921347.185731,1.076878,-2.669177,1.673031,-0.0039,0.0000
1787921347.192448,1.076795,-2.669237,1.673001,-0.0050,0.0000
1787921347.199140,1.076989,-2.669206,1.673588,-0.0030,0.0000
1787921347.205680,1.076870,-2.669211,1.673263,-0.0018,0.0000
1787921347.211898,1.076925,-2.669206,1.673313,-0.0013,0.0000
1787921347.218901,1.077199,-2.669257,1.673765,-0.0043,0.0000
1787921347.225835,1.076969,-2.669312,1.673413,-0.0043,0.0000
1787921347.232474,1.077222,-2.669213,1.673397,0.0002,0.0000
1787921347.238904,1.077078,-2.669273,1.673590,-0.0019,0.0000
1787921347.247488,1.077137,-2.669378,1.673715,-0.0052,0.0000
1787921347.254615,1.077191,-2.669272,1.673445,0.0006,0.0000
1787921347.258994,1.077170,-2.669339,1.673579,-0.0041,0.0000
1787921347.265251,1.076914,-2.669177,1.673133,0.0061,0.0000
1787921347.272241,1.076703,-2.669190,1.673100,0.0047,0.0000
1787921347.278462,1.076839,-2.669284,1.673471,-0.0019,0.0000
1787921347.285077,1.076923,-2.669202,1.673118,0.0019,0.0000
1787921347.292199,1.076907,-2.669273,1.673442,-0.0015,0.0000
1787921347.299977,1.076696,-2.669249,1.672878,0.0007,0.0000
1787921347.305382,1.076890,-2.669129,1.673290,0.0060,0.0000
1787921347.312648,1.077071,-2.669142,1.673541,0.0029,0.0000
1787921347.319796,1.076836,-2.669247,1.673099,-0.0013,0.0000
1787921347.325779,1.076988,-2.669228,1.673362,-0.0008,0.0000
1787921347.334211,1.077135,-2.669313,1.673526,-0.0041,0.0000
1787921347.339540,1.077130,-2.669265,1.673420,-0.0001,0.0000
1787921347.346104,1.077066,-2.669385,1.673546,-0.0052,0.0000
1787921347.352072,1.077156,-2.669332,1.673374,-0.0015,0.0000
1787921347.358957,1.076950,-2.669348,1.673282,-0.0008,0.0000
1787921347.365473,1.077038,-2.669254,1.673518,0.0033,0.0000
1787921347.373194,1.076985,-2.669220,1.673080,0.0038,0.0000
1787921347.379044,1.076996,-2.669177,1.673372,0.0049,0.0000
1787921347.385101,1.076743,-2.669112,1.673121,0.0079,0.0000
1787921347.391946,1.076975,-2.669228,1.673395,-0.0006,0.0000
1787921347.399641,1.076895,-2.669190,1.673018,0.0014,0.0000
1787921347.405174,1.076840,-2.669207,1.673174,0.0004,0.0000
1787921347.411809,1.076979,-2.669195,1.673442,0.0002,0.0000
1787921347.419414,1.077014,-2.669253,1.673203,-0.0023,0.0000
1787921347.427539,1.077164,-2.669253,1.673762,-0.0022,0.0000
1787921347.432316,1.077295,-2.669282,1.673686,-0.0042,0.0000
1787921347.438585,1.077357,-2.669283,1.673799,-0.0033,0.0000
1787921347.445140,1.077234,-2.669354,1.673726,-0.0049,0.0000
1787921347.452239,1.076971,-2.669319,1.673458,-0.0009,0.0000
1787921347.459234,1.076882,-2.669222,1.672957,0.0039,0.0000
1787921347.465461,1.076718,-2.669225,1.672948,0.0034,0.0000
1787921347.472568,1.076806,-2.669260,1.673145,0.0005,0.0000
1787921347.480512,1.076791,-2.669183,1.673372,0.0033,0.0000
1787921347.485689,1.076660,-2.669135,1.672755,0.0059,0.0000
1787921347.491513,1.076769,-2.669106,1.673049,0.0050,0.0000
1787921347.498735,1.076750,-2.669244,1.673247,-0.0021,0.0000
1787921347.505807,1.076882,-2.669273,1.673385,-0.0033,0.0000
1787921347.512075,1.076913,-2.669224,1.673128,-0.0001,0.0000
1787921347.518696,1.077006,-2.669232,1.673310,-0.0009,0.0000
