timestamp,x,y,yaw,velocity,steering
1787920365.899003,-0.149449,-2.635999,0.465296,0.0000,0.0000
1787920365.907332,-0.149529,-2.635790,0.465141,0.0008,0.0000
1787920365.913116,-0.149411,-2.636102,0.465708,-0.0012,0.0000
1787920365.921599,-0.149495,-2.636042,0.465474,-0.0026,0.0000
1787920365.926239,-0.149712,-2.635810,0.464670,-0.0076,0.0000
1787920365.932611,-0.149675,-2.636125,0.465266,-0.0104,0.0000
1787920365.939646,-0.149692,-2.635957,0.464963,-0.0047,0.0000
1787920365.946339,-0.149513,-2.636154,0.465223,-0.0001,0.0000
1787920365.952819,-0.149609,-2.635878,0.465109,0.0017,0.0000
1787920365.959480,-0.149585,-2.636107,0.465156,-0.0025,0.0000
1787920365.966034,-0.149500,-2.636042,0.465377,0.0031,0.0000
1787920365.973005,-0.149569,-2.635969,0.464849,0.0009,0.0000
1787920365.979505,-0.149497,-2.635673,0.464840,0.0097,0.0000
1787920365.985859,-0.149633,-2.636011,0.465100,-0.0061,0.0000
1787920365.992762,-0.149549,-2.635894,0.465044,0.0013,0.0000
1787920365.999292,-0.149642,-2.635926,0.464970,-0.0036,0.0000
1787920366.006359,-0.149619,-2.635943,0.465034,-0.0020,0.0000
1787920366.012847,-0.149523,-2.636191,0.465644,-0.0026,0.0000
1787920366.019281,-0.149603,-2.636071,0.465246,-0.0026,0.0000
1787920366.025965,-0.149646,-2.636007,0.465256,-0.0023,0.0000
1787920366.033186,-0.149653,-2.635997,0.465048,-0.0017,0.0000
1787920366.059212,-0.149629,-2.635975,0.465010,-0.0008,0.0000
1787920366.075582,-0.149702,-2.635778,0.464691,-0.0001,0.0000
1787920366.076526,-0.149642,-2.635656,0.464338,0.0344,0.0000
1787920366.077317,-0.149557,-2.635876,0.465154,0.0154,0.0000
1787920366.078837,-0.149527,-2.635996,0.465421,0.0055,0.0000
1787920366.080463,-0.149529,-2.635974,0.465208,0.0053,0.0000
1787920366.081266,-0.149582,-2.636026,0.465207,-0.0228,0.0000
1787920366.086044,-0.149606,-2.635989,0.465146,-0.0162,0.0000
1787920366.092642,-0.149567,-2.636243,0.465339,-0.0150,0.0000
1787920366.099271,-0.149645,-2.636068,0.464882,-0.0101,0.0000
1787920366.105834,-0.149693,-2.635881,0.464929,-0.0052,0.0000
1787920366.113328,-0.149463,-2.636010,0.465498,0.0023,0.0000
1787920366.119381,-0.149636,-2.635730,0.464891,0.0002,0.0000
1787920366.127318,-0.149601,-2.635982,0.465234,-0.0030,0.0000
1787920366.135515,-0.149630,-2.635970,0.465055,-0.0028,0.0000
1787920366.139690,-0.149601,-2.635809,0.464837,0.0051,0.0000
1787920366.146106,-0.149470,-2.635901,0.464981,0.0071,0.0000
1787920366.152726,-0.149610,-2.635914,0.465131,-0.0009,0.0000
1787920366.161404,-0.149519,-2.635965,0.465129,0.0013,0.0000
1787920366.165862,-0.149549,-2.636076,0.465108,-0.0042,0.0000
1787920366.172775,-0.149551,-2.635990,0.465103,-0.0013,0.0000
1787920366.180582,-0.149725,-2.635983,0.464684,-0.0068,0.0000
1787920366.185682,-0.149567,-2.635965,0.465132,0.0040,0.0000
1787920366.192866,-0.149622,-2.635925,0.464750,0.0015,0.0000
1787920366.199657,-0.149515,-2.636198,0.465534,-0.0001,0.0000
1787920366.206157,-0.149547,-2.636048,0.465264,0.0017,0.0000
1787920366.213102,-0.149544,-2.636144,0.465717,-0.0006,0.0000
1787920366.219477,-0.149365,-2.636014,0.465386,0.0099,0.0000
1787920366.225776,-0.149469,-2.635861,0.465197,0.0057,0.0000
1787920366.233228,-0.149598,-2.635932,0.465300,-0.0019,0.0000
1787920366.240466,-0.149539,-2.636090,0.465498,-0.0021,0.0000
1787920366.246121,-0.149584,-2.636120,0.465341,-0.0043,0.0000
1787920366.252649,-0.149624,-2.636072,0.465113,-0.0037,0.0000
1787920366.259372,-0.149620,-2.636147,0.465065,-0.0039,0.0000
1787920366.266247,-0.149715,-2.635686,0.464480,0.0026,0.0000
1787920366.273292,-0.149513,-2.636194,0.465637,-0.0002,0.0000
1787920366.279398,-0.149492,-2.636179,0.465479,0.0011,0.0000
1787920366.286450,-0.149577,-2.635970,0.464968,0.0015,0.0000
1787920366.292242,-0.149568,-2.635969,0.465237,0.0015,0.0000
1787920366.299541,-0.149392,-2.636078,0.465556,0.0055,0.0000
1787920366.306137,-0.149627,-2.635871,0.465036,-0.0015,0.0000
1787920366.315103,-0.149590,-2.636124,0.465395,-0.0037,0.0000
1787920366.319429,-0.149684,-2.635835,0.464735,0.0006,0.0000
1787920366.325848,-0.149581,-2.636153,0.465698,-0.0020,0.0000
1787920366.333048,-0.149735,-2.635772,0.464683,-0.0000,0.0000
1787920366.342282,-0.149557,-2.636189,0.465684,-0.0009,0.0000
1787920366.366531,-0.149641,-2.636078,0.465112,-0.0010,0.0000
1787920366.378189,-0.149705,-2.635780,0.464508,0.0013,0.0000
1787920366.379143,-0.149662,-2.635898,0.464917,-0.0037,0.0000
1787920366.379970,-0.149508,-2.635981,0.464934,0.0338,0.0000
1787920366.381619,-0.149698,-2.635664,0.464468,0.0187,0.0000
1787920366.383390,-0.149540,-2.635932,0.465025,0.0166,0.0000
1787920366.385993,-0.149552,-2.636031,0.465483,0.0052,0.0000
1787920366.392905,-0.149559,-2.635861,0.464806,0.0067,0.0000
1787920366.399557,-0.149572,-2.635904,0.465107,0.0033,0.0000
1787920366.407295,-0.149631,-2.636081,0.465307,-0.0028,0.0000
1787920366.413055,-0.149627,-2.636211,0.465377,-0.0048,0.0000
1787920366.419225,-0.149666,-2.636053,0.465076,-0.0016,0.0000
1787920366.425693,-0.149518,-2.636115,0.465642,0.0037,0.0000
1787920366.433687,-0.149536,-2.635763,0.464996,0.0079,0.0000
1787920366.443056,-0.149448,-2.636034,0.465646,0.0042,0.0000
1787920366.446353,-0.149515,-2.635960,0.465210,0.0005,0.0000
1787920366.452470,-0.149550,-2.635932,0.464959,-0.0006,0.0000
1787920366.459333,-0.149559,-2.636052,0.465107,-0.0031,0.0000
1787920366.468649,-0.149663,-2.635817,0.464600,-0.0018,0.0000
1787920366.472719,-0.149492,-2.636208,0.465624,-0.0029,0.0000
1787920366.480585,-0.149573,-2.635959,0.464989,-0.0006,0.0000
1787920366.486241,-0.149597,-2.636018,0.465060,-0.0029,0.0000
1787920366.492624,-0.149642,-2.635897,0.464859,-0.0014,0.0000
1787920366.499614,-0.149590,-2.636094,0.464968,-0.0028,0.0000
1787920366.505941,-0.149618,-2.636024,0.465119,-0.0016,0.0000
1787920366.512691,-0.149596,-2.635840,0.464959,0.0034,0.0000
1787920366.519902,-0.149522,-2.635963,0.465341,0.0028,0.0000
1787920366.526046,-0.149619,-2.635853,0.464969,0.0001,0.0000
1787920366.532657,-0.149438,-2.636088,0.465417,0.0027,0.0000
1787920366.539788,-0.149587,-2.635851,0.465118,0.0007,0.0000
1787920366.546199,-0.149505,-2.635934,0.464800,0.0022,0.0000
1787920366.553700,-0.149516,-2.636137,0.465308,-0.0025,0.0000
1787920366.559070,-0.149655,-2.635972,0.464827,-0.0046,0.0000
1787920366.566040,-0.149645,-2.636161,0.465155,-0.0065,0.0000
1787920366.573217,-0.149590,-2.636102,0.465258,-0.0014,0.0000
1787920366.579530,-0.149633,-2.636014,0.465016,-0.0009,0.0000
1787920366.586043,-0.149586,-2.635845,0.464778,0.0048,0.0000
1787920366.594548,-0.149547,-2.635939,0.465209,0.0031,0.0000
1787920366.600055,-0.149563,-2.635786,0.464863,0.0051,0.0000
1787920366.606663,-0.149619,-2.635937,0.464875,-0.0017,0.0000
1787920366.612602,-0.149578,-2.636156,0.465385,-0.0043,0.0000
1787920366.620070,-0.149620,-2.635988,0.465025,-0.0015,0.0000
1787920366.626294,-0.149527,-2.636073,0.465383,0.0011,0.0000
1787920366.632550,-0.149514,-2.636044,0.465489,0.0019,0.0000
1787920366.639493,-0.149522,-2.636419,0.465862,-0.0062,0.0000
1787920366.647555,-0.149681,-2.635872,0.464753,-0.0005,0.0000
1787920366.692794,-0.149568,-2.636163,0.465242,-0.0006,0.0000
