timestamp,x,y,yaw,velocity,steering
1787918212.840585,-0.175462,-2.751002,1.902637,0.0000,0.0000
1787918212.846967,-0.175220,-2.751102,1.902538,-0.0081,0.0000
1787918212.854922,-0.175430,-2.751000,1.902600,0.0005,0.0000
1787918212.860236,-0.175088,-2.751325,1.903216,-0.0233,0.0000
1787918212.866693,-0.175207,-2.751175,1.902799,-0.0079,0.0000
1787918212.878150,-0.175165,-2.751151,1.902930,-0.0053,0.0000
1787918212.883037,-0.175167,-2.751023,1.902897,0.0038,0.0000
1787918212.891277,-0.174975,-2.751008,1.903457,0.0009,0.0000
1787918212.893844,-0.175485,-2.751273,1.902336,-0.0093,0.0000
1787918212.900357,-0.175005,-2.750998,1.903134,-0.0017,0.0000
1787918212.907180,-0.175167,-2.751205,1.903072,-0.0075,0.0000
1787918212.913354,-0.175269,-2.750979,1.902717,0.0067,0.0000
1787918212.920663,-0.175060,-2.751014,1.903036,0.0006,0.0000
1787918212.926951,-0.175130,-2.751091,1.902883,-0.0020,0.0000
1787918212.933343,-0.175299,-2.751130,1.902610,-0.0005,0.0000
1787918212.940715,-0.175036,-2.751044,1.903023,-0.0005,0.0000
1787918212.946827,-0.175486,-2.751010,1.902334,0.0084,0.0000
1787918212.953806,-0.175378,-2.751107,1.902456,0.0004,0.0000
1787918212.961053,-0.175084,-2.751185,1.902952,-0.0067,0.0000
1787918212.967320,-0.175071,-2.750989,1.903163,0.0039,0.0000
1787918212.973872,-0.175413,-2.751105,1.902503,0.0028,0.0000
1787918212.980351,-0.175308,-2.751144,1.902683,-0.0013,0.0000
1787918212.990883,-0.175299,-2.750805,1.902665,0.0082,0.0000
1787918212.994417,-0.175082,-2.751146,1.903143,-0.0277,0.0000
1787918212.999836,-0.174968,-2.751127,1.903437,-0.0204,0.0000
1787918213.007004,-0.175081,-2.751141,1.903097,-0.0133,0.0000
1787918213.013481,-0.174911,-2.750987,1.903506,-0.0051,0.0000
1787918213.020471,-0.175080,-2.751155,1.902970,-0.0080,0.0000
1787918213.028016,-0.175356,-2.750923,1.902547,0.0066,0.0000
1787918213.033571,-0.174813,-2.750977,1.903571,-0.0077,0.0000
1787918213.040160,-0.175204,-2.750997,1.902858,-0.0005,0.0000
1787918213.048023,-0.175273,-2.751177,1.902899,-0.0059,0.0000
1787918213.053478,-0.175174,-2.750991,1.902886,0.0037,0.0000
1787918213.063194,-0.175359,-2.751220,1.902549,-0.0022,0.0000
1787918213.067116,-0.174993,-2.751094,1.903306,-0.0016,0.0000
1787918213.073552,-0.175224,-2.751077,1.902698,0.0031,0.0000
1787918213.080199,-0.175409,-2.751236,1.902449,-0.0018,0.0000
1787918213.086817,-0.175010,-2.751145,1.903190,-0.0033,0.0000
1787918213.093324,-0.175134,-2.750964,1.902973,0.0074,0.0000
1787918213.100614,-0.175174,-2.751142,1.902872,-0.0012,0.0000
1787918213.108110,-0.175098,-2.750834,1.903255,0.0098,0.0000
1787918213.113853,-0.175165,-2.751017,1.902723,-0.0010,0.0000
1787918213.120017,-0.175407,-2.751087,1.902613,-0.0001,0.0000
1787918213.129863,-0.175225,-2.751049,1.902896,-0.0008,0.0000
1787918213.133438,-0.175092,-2.751112,1.903023,-0.0092,0.0000
1787918213.140384,-0.175299,-2.750916,1.902799,0.0045,0.0000
1787918213.146467,-0.175215,-2.751218,1.902882,-0.0123,0.0000
1787918213.153527,-0.175289,-2.750979,1.902781,0.0020,0.0000
1787918213.162504,-0.175128,-2.750967,1.902908,0.0000,0.0000
1787918213.166832,-0.175048,-2.751144,1.903247,-0.0134,0.0000
1787918213.173672,-0.175075,-2.750935,1.903033,-0.0003,0.0000
1787918213.180633,-0.175134,-2.751190,1.902831,-0.0098,0.0000
1787918213.186914,-0.175476,-2.751044,1.902349,0.0051,0.0000
1787918213.195928,-0.174828,-2.750862,1.903887,0.0022,0.0000
1787918213.200176,-0.174980,-2.751090,1.903272,-0.0102,0.0000
1787918213.207034,-0.175342,-2.751066,1.902749,-0.0010,0.0000
1787918213.213132,-0.174973,-2.750862,1.903383,0.0029,0.0000
1787918213.220216,-0.175326,-2.751028,1.902770,0.0002,0.0000
1787918213.227585,-0.175293,-2.751172,1.902472,-0.0058,0.0000
1787918213.234922,-0.175277,-2.750909,1.903192,0.0059,0.0000
1787918213.240433,-0.174937,-2.751147,1.903344,-0.0142,0.0000
1787918213.246560,-0.175461,-2.751110,1.902239,0.0002,0.0000
1787918213.253939,-0.175353,-2.751122,1.902807,-0.0018,0.0000
1787918213.260641,-0.175087,-2.751146,1.903178,-0.0061,0.0000
1787918213.266939,-0.175161,-2.751025,1.902935,0.0023,0.0000
1787918213.273699,-0.175370,-2.751137,1.902568,-0.0001,0.0000
1787918213.280241,-0.175217,-2.751099,1.902721,-0.0007,0.0000
1787918213.287318,-0.174930,-2.751109,1.903374,-0.0048,0.0000
1787918213.293881,-0.175097,-2.750968,1.903106,0.0052,0.0000
1787918213.300372,-0.175235,-2.751018,1.902682,0.0035,0.0000
1787918213.306543,-0.175606,-2.751053,1.902198,0.0067,0.0000
1787918213.313588,-0.174986,-2.750930,1.903494,0.0010,0.0000
1787918213.320305,-0.175516,-2.751066,1.902292,0.0027,0.0000
1787918213.327919,-0.175425,-2.751103,1.902334,-0.0007,0.0000
1787918213.334830,-0.175464,-2.751071,1.902458,0.0014,0.0000
1787918213.340192,-0.175080,-2.750948,1.903189,0.0005,0.0000
1787918213.347144,-0.175508,-2.751080,1.902564,0.0010,0.0000
1787918213.355297,-0.175046,-2.750870,1.903222,0.0024,0.0000
1787918213.359904,-0.175253,-2.751119,1.902690,-0.0092,0.0000
1787918213.367666,-0.174967,-2.751021,1.903204,-0.0065,0.0000
1787918213.373299,-0.175060,-2.751063,1.903041,-0.0050,0.0000
1787918213.381667,-0.175153,-2.751184,1.902967,-0.0065,0.0000
1787918213.387110,-0.175283,-2.750992,1.902862,0.0077,0.0000
1787918213.394931,-0.175288,-2.750917,1.902784,0.0082,0.0000
1787918213.402689,-0.175135,-2.751013,1.903078,0.0003,0.0000
1787918213.406554,-0.175316,-2.751178,1.902823,-0.0073,0.0000
1787918213.413726,-0.175419,-2.751271,1.902414,-0.0074,0.0000
1787918213.420492,-0.174709,-2.750898,1.904222,0.0002,0.0000
1787918213.428022,-0.175068,-2.751237,1.902971,-0.0080,0.0000
1787918213.433529,-0.175136,-2.751003,1.903087,0.0077,0.0000
1787918213.440154,-0.174949,-2.751144,1.903341,-0.0034,0.0000
1787918213.446952,-0.174752,-2.750953,1.903812,0.0027,0.0000
1787918213.453316,-0.175273,-2.751162,1.902617,0.0006,0.0000
1787918213.460806,-0.175384,-2.750969,1.902566,0.0092,0.0000
1787918213.469595,-0.174972,-2.751105,1.903303,-0.0026,0.0000
1787918213.475134,-0.175129,-2.751082,1.903339,0.0022,0.0000
1787918213.480071,-0.174893,-2.751101,1.903429,-0.0043,0.0000
1787918213.486980,-0.175356,-2.751245,1.902417,-0.0024,0.0000
1787918213.493390,-0.175156,-2.750999,1.902787,0.0062,0.0000
1787918213.502211,-0.174871,-2.751067,1.903313,-0.0010,0.0000
1787918213.507639,-0.175186,-2.751021,1.902911,0.0074,0.0000
1787918213.513543,-0.174768,-2.751069,1.903912,-0.0041,0.0000
1787918213.520859,-0.175143,-2.751226,1.903150,-0.0039,0.0000
1787918213.526909,-0.174807,-2.750974,1.903741,0.0036,0.0000
1787918213.533200,-0.175110,-2.751144,1.902927,-0.0004,0.0000
1787918213.540336,-0.175127,-2.751096,1.903104,0.0019,0.0000
1787918213.546730,-0.175319,-2.750972,1.902770,0.0097,0.0000
1787918213.554302,-0.175272,-2.750937,1.902743,0.0075,0.0000
1787918213.560299,-0.175223,-2.750948,1.903217,0.0039,0.0000
1787918213.566810,-0.175219,-2.750952,1.902884,0.0025,0.0000
1787918213.573699,-0.175075,-2.751034,1.903216,-0.0036,0.0000
1787918213.580223,-0.174796,-2.751016,1.903575,-0.0060,0.0000
1787918213.587393,-0.174890,-2.751213,1.903526,-0.0107,0.0000
1787918213.593982,-0.175380,-2.751186,1.902417,0.0010,0.0000
1787918213.600104,-0.174862,-2.751104,1.903805,-0.0038,0.0000
1787918213.606689,-0.175169,-2.751010,1.902778,0.0059,0.0000
1787918213.613884,-0.175315,-2.750952,1.902785,0.0084,0.0000
1787918213.620151,-0.175570,-2.751096,1.902194,0.0033,0.0000
1787918213.626618,-0.175471,-2.751031,1.902270,0.0037,0.0000
1787918213.634533,-0.175061,-2.750935,1.903211,0.0010,0.0000
1787918213.640905,-0.175233,-2.751163,1.902676,-0.0068,0.0000
1787918213.647116,-0.175098,-2.751135,1.903236,-0.0056,0.0000
1787918213.653629,-0.175191,-2.750910,1.902889,0.0072,0.0000
1787918213.660036,-0.175576,-2.751049,1.902142,0.0048,0.0000
1787918213.667250,-0.175113,-2.750936,1.903099,0.0015,0.0000
1787918213.674103,-0.175101,-2.750966,1.903112,-0.0004,0.0000
1787918213.680176,-0.175529,-2.751226,1.902032,-0.0055,0.0000
1787918213.687110,-0.175041,-2.751023,1.903295,-0.0025,0.0000
1787918213.693010,-0.175003,-2.751105,1.902962,-0.0063,0.0000
1787918213.700311,-0.174981,-2.751083,1.903220,-0.0038,0.0000
1787918213.709327,-0.175131,-2.751052,1.903237,-0.0001,0.0000
1787918213.713830,-0.175006,-2.750898,1.903263,0.0069,0.0000
1787918213.720185,-0.175081,-2.751194,1.903156,-0.0072,0.0000
1787918213.727334,-0.175012,-2.750990,1.903450,0.0021,0.0000
1787918213.733352,-0.174928,-2.750930,1.903373,0.0029,0.0000
1787918213.740731,-0.175035,-2.751018,1.903064,0.0001,0.0000
1787918213.746433,-0.174818,-2.750966,1.903487,-0.0011,0.0000
1787918213.754251,-0.175575,-2.750947,1.902129,0.0094,0.0000
1787918213.760375,-0.175257,-2.751198,1.902668,-0.0101,0.0000
1787918213.766955,-0.175058,-2.751080,1.902874,-0.0049,0.0000
1787918213.773416,-0.174992,-2.750873,1.903487,0.0046,0.0000
1787918213.779829,-0.175502,-2.750966,1.902261,0.0069,0.0000
1787918213.787174,-0.174896,-2.751001,1.903678,-0.0047,0.0000
1787918213.793663,-0.175374,-2.751275,1.902449,-0.0080,0.0000
1787918213.801285,-0.175430,-2.751127,1.902490,0.0006,0.0000
1787918213.809996,-0.175333,-2.750990,1.902575,0.0038,0.0000
1787918213.813510,-0.174824,-2.750997,1.903396,-0.0121,0.0000
1787918213.820220,-0.175008,-2.751005,1.903326,-0.0062,0.0000
1787918213.826698,-0.174926,-2.751011,1.903372,-0.0058,0.0000
1787918213.833091,-0.175412,-2.751119,1.902395,-0.0014,0.0000
1787918213.840657,-0.175016,-2.751063,1.903107,-0.0040,0.0000
1787918213.847027,-0.175279,-2.751127,1.902704,-0.0016,0.0000
1787918213.853587,-0.175594,-2.751287,1.902011,-0.0034,0.0000
1787918213.860496,-0.175229,-2.751028,1.902502,0.0031,0.0000
1787918213.867732,-0.175177,-2.751160,1.903078,-0.0037,0.0000
1787918213.873696,-0.174846,-2.751078,1.903414,-0.0041,0.0000
1787918213.880595,-0.175223,-2.751036,1.902719,0.0042,0.0000
1787918213.887393,-0.174908,-2.750977,1.903356,0.0008,0.0000
1787918213.893507,-0.175090,-2.751119,1.903233,-0.0031,0.0000
1787918213.901485,-0.174966,-2.750999,1.903482,0.0006,0.0000
1787918213.906281,-0.175128,-2.751056,1.902990,0.0003,0.0000
1787918213.913531,-0.174906,-2.750850,1.903753,0.0053,0.0000
1787918213.920494,-0.175258,-2.751130,1.902796,-0.0027,0.0000
1787918213.928774,-0.175041,-2.751069,1.903256,-0.0024,0.0000
1787918213.933552,-0.174964,-2.751097,1.903535,-0.0050,0.0000
1787918213.939913,-0.175304,-2.751103,1.902511,0.0015,0.0000
1787918213.949157,-0.174957,-2.750917,1.903520,0.0031,0.0000
1787918213.953977,-0.175093,-2.751153,1.902988,-0.0090,0.0000
1787918213.960918,-0.175176,-2.751051,1.903031,-0.0009,0.0000
1787918213.967428,-0.175395,-2.751239,1.902463,-0.0056,0.0000
1787918213.973306,-0.175014,-2.750947,1.903482,0.0038,0.0000
1787918213.981870,-0.175054,-2.751020,1.903129,0.0007,0.0000
1787918213.987091,-0.175249,-2.750998,1.902816,0.0054,0.0000
1787918213.993413,-0.175429,-2.751214,1.902643,-0.0031,0.1166
1787918214.000030,-0.175196,-2.751182,1.902934,-0.0043,0.1166
1787918214.006817,-0.175393,-2.750949,1.902500,0.0095,0.1166
1787918214.014255,-0.175403,-2.751043,1.902738,0.0033,0.1166
1787918214.020101,-0.175176,-2.751175,1.903027,-0.0079,0.1166
1787918214.027064,-0.175036,-2.750991,1.903222,-0.0000,0.1166
1787918214.033552,-0.174931,-2.750846,1.903525,0.0047,0.1166
1787918214.040395,-0.174810,-2.751048,1.903827,-0.0068,0.1166
1787918214.047824,-0.175036,-2.750913,1.903412,0.0034,0.1166
1787918214.054371,-0.174981,-2.750990,1.903195,-0.0018,0.1166
1787918214.061900,-0.175348,-2.751002,1.902257,0.0030,0.1166
1787918214.068231,-0.174943,-2.751181,1.903427,-0.0122,0.1166
1787918214.073569,-0.174971,-2.751026,1.903325,0.0003,0.1166
1787918214.079983,-0.175185,-2.751103,1.902736,0.0001,0.1166
1787918214.089102,-0.175538,-2.751180,1.901993,0.0014,0.1166
1787918214.093408,-0.175153,-2.750908,1.903077,0.0102,0.1166
1787918214.100538,-0.174873,-2.751102,1.903472,-0.0045,0.1167
1787918214.107157,-0.174981,-2.751129,1.903293,-0.0027,0.1167
1787918214.116735,-0.174969,-2.750958,1.903628,0.0031,0.1167
1787918214.120237,-0.175161,-2.751271,1.903041,-0.0179,0.1167
1787918214.126617,-0.175699,-2.751196,1.902001,-0.0009,0.1167
